feature_names,sample,qsampled,random_sample
ptsd1,5,,5
ptsd2,2,2,4
ptsd3,2,3,3
ptsd5,4,2,4
ptsd10,3,2,1
ptsd13,4,4,3
ptsd15,4,2,4
ptsd16,3,3,4
ptsd17,3,4,4
ptsd20,1,,1
ptsd21,1,2,3
ptsd22,4,5,4
ptsd24,4,4,2
ptsd25,3,4,3
ptsd26,2,2,4
ptsd28,3,2,4
ptsd29,4,,1
ptsd30,5,4,1
ptsd33,3,1,2
ptsd34,3,4,3
ptsd35,2,2,1
ptsd38,2,1,4
ptsd39,4,3,3
ptsd41,4,2,3
ptsd42,3,2,3
ptsd44,3,3,5
ptsd46,1,1,2
ptsd48,3,3,1
ptsd51,3,1,4
ptsd53,1,4,2
ptsd54,2,3,4
ptsd55,2,,2
ptsd56,2,2,2
ptsd58,2,2,1
ptsd60,4,,2
ptsd61,2,4,2
ptsd62,1,1,2
ptsd64,1,2,1
ptsd69,1,1,2
ptsd70,1,5,1
ptsd71,2,,3
ptsd72,3,1,2
ptsd73,2,,5
ptsd77,3,5,4
ptsd82,5,1,4
ptsd83,2,,2
ptsd85,4,,5
ptsd93,4,2,4
ptsd94,2,3,1
ptsd96,2,2,2
ptsd98,5,3,1
ptsd99,4,3,2
ptsd101,2,,5
ptsd107,3,,4
ptsd108,4,4,3
ptsd113,2,1,2
ptsd114,4,3,4
ptsd116,2,1,3
ptsd117,1,3,3
ptsd119,1,1,3
ptsd121,4,2,3
ptsd122,2,1,1
ptsd125,2,4,1
ptsd126,4,,3
ptsd129,2,,2
ptsd130,2,1,1
ptsd132,2,4,5
ptsd134,3,2,3
ptsd137,3,1,4
ptsd139,3,4,1
ptsd140,3,4,4
ptsd141,4,2,1
ptsd142,2,2,5
ptsd143,2,5,3
ptsd144,3,1,3
ptsd146,2,2,4
ptsd147,2,4,5
ptsd149,1,2,4
ptsd151,1,1,4
ptsd158,3,,1
ptsd161,4,,5
ptsd163,2,5,1
ptsd164,2,1,4
ptsd166,3,2,4
ptsd167,1,,1
ptsd168,2,1,5
ptsd170,1,3,4
ptsd171,1,1,4
ptsd172,2,4,1
ptsd175,4,2,1
ptsd180,2,3,1
ptsd181,1,3,4
ptsd183,1,,3
ptsd187,4,3,4
ptsd188,4,1,4
ptsd189,3,1,1
ptsd190,1,1,2
ptsd193,2,1,4
ptsd195,2,4,1
ptsd197,2,,4
ptsd198,3,2,2
ptsd199,2,1,1
ptsd200,5,5,3
ptsd202,3,3,3
ptsd206,3,3,4
ptsd210,4,,1
ptsd211,2,5,3
