feature_names,sample,qsampled,random_sample
ptsd2,2,,4
ptsd3,3,3,5
ptsd6,3,2,3
ptsd8,4,1,2
ptsd9,1,3,3
ptsd10,3,4,1
ptsd11,3,1,3
ptsd12,3,3,3
ptsd14,3,,4
ptsd15,4,4,1
ptsd17,4,2,3
ptsd22,3,4,4
ptsd23,2,4,1
ptsd25,3,4,3
ptsd26,1,2,4
ptsd27,1,2,3
ptsd28,2,,2
ptsd30,3,4,1
ptsd31,3,1,2
ptsd34,4,2,3
ptsd37,4,4,2
ptsd38,1,2,4
ptsd46,1,1,3
ptsd48,4,2,3
ptsd50,4,2,2
ptsd51,3,1,3
ptsd54,2,1,4
ptsd58,4,,2
ptsd59,2,3,4
ptsd61,5,5,2
ptsd62,1,3,2
ptsd64,2,,2
ptsd66,2,1,2
ptsd71,4,2,2
ptsd73,4,1,2
ptsd74,3,2,3
ptsd75,4,1,2
ptsd76,2,4,1
ptsd77,3,5,3
ptsd79,4,,2
ptsd80,4,2,5
ptsd82,4,1,4
ptsd83,3,4,4
ptsd84,3,,2
ptsd85,3,4,5
ptsd87,4,,2
ptsd92,1,4,1
ptsd93,3,2,2
ptsd95,3,1,3
ptsd103,4,3,1
ptsd105,3,4,2
ptsd107,1,3,4
ptsd108,3,,4
ptsd110,3,,4
ptsd111,1,5,2
ptsd112,4,1,4
ptsd113,1,2,3
ptsd114,3,5,2
ptsd115,1,1,4
ptsd117,3,2,1
ptsd118,2,1,3
ptsd119,2,4,3
ptsd120,3,4,2
ptsd121,3,,2
ptsd122,3,1,2
ptsd124,3,3,3
ptsd125,3,2,1
ptsd126,3,,3
ptsd127,3,4,1
ptsd130,3,4,4
ptsd131,3,3,5
ptsd133,4,2,3
ptsd139,3,4,3
ptsd141,3,1,3
ptsd142,3,5,4
ptsd147,3,2,5
ptsd150,3,2,4
ptsd151,3,1,4
ptsd152,1,,1
ptsd154,3,,5
ptsd155,3,5,1
ptsd156,1,2,5
ptsd158,3,3,5
ptsd159,3,,3
ptsd163,3,3,5
ptsd164,3,3,2
ptsd165,3,2,1
ptsd167,2,,4
ptsd168,1,3,2
ptsd169,3,1,1
ptsd170,1,5,1
ptsd171,3,1,1
ptsd173,3,4,3
ptsd174,3,2,2
ptsd181,3,1,3
ptsd184,3,2,3
ptsd185,3,2,2
ptsd186,3,3,2
ptsd188,2,,2
ptsd194,4,2,4
ptsd196,4,4,1
ptsd203,2,5,4
ptsd207,3,3,2
ptsd208,4,3,1
ptsd209,1,,3
ptsd210,3,5,3
