feature_names,sample,qsampled,random_sample
ptsd1,5,,5
ptsd2,3,2,4
ptsd6,2,2,3
ptsd7,2,3,2
ptsd8,3,3,3
ptsd16,2,,3
ptsd17,3,2,4
ptsd19,1,3,4
ptsd21,1,1,4
ptsd22,1,,1
ptsd24,2,3,2
ptsd27,1,1,1
ptsd31,1,5,4
ptsd35,1,1,1
ptsd36,2,3,3
ptsd37,3,2,3
ptsd39,1,1,3
ptsd40,1,,2
ptsd41,1,1,1
ptsd42,1,4,1
ptsd43,3,5,2
ptsd44,3,2,3
ptsd47,2,3,1
ptsd48,3,3,4
ptsd52,1,1,4
ptsd53,2,,1
ptsd54,1,1,4
ptsd55,2,,5
ptsd57,3,1,2
ptsd60,1,3,4
ptsd61,3,5,2
ptsd62,1,2,2
ptsd63,1,,2
ptsd65,1,,2
ptsd66,1,1,4
ptsd69,1,,2
ptsd70,2,1,3
ptsd71,4,2,2
ptsd72,1,1,1
ptsd74,2,1,3
ptsd75,3,1,2
ptsd77,2,5,5
ptsd80,2,,4
ptsd83,1,1,4
ptsd85,1,,2
ptsd87,2,4,5
ptsd88,2,1,2
ptsd91,4,,1
ptsd93,1,,2
ptsd94,3,4,3
ptsd96,5,3,1
ptsd101,4,2,5
ptsd105,3,2,4
ptsd109,3,4,4
ptsd111,2,,2
ptsd114,1,,4
ptsd115,2,,3
ptsd116,3,5,2
ptsd118,1,1,4
ptsd119,2,2,1
ptsd121,1,4,1
ptsd123,3,4,4
ptsd127,2,2,2
ptsd128,1,2,2
ptsd131,1,2,5
ptsd132,1,5,3
ptsd137,1,,4
ptsd138,2,,1
ptsd140,2,1,4
ptsd141,1,3,1
ptsd142,1,2,5
ptsd143,1,,3
ptsd146,1,4,4
ptsd147,2,4,4
ptsd148,4,2,5
ptsd150,2,2,4
ptsd151,1,1,4
ptsd152,1,1,1
ptsd153,3,2,5
ptsd158,1,2,1
ptsd160,1,3,5
ptsd163,1,1,5
ptsd164,1,1,1
ptsd166,3,,1
ptsd168,1,5,5
ptsd170,3,1,4
ptsd171,1,1,4
ptsd172,1,2,1
ptsd173,1,,1
ptsd175,3,3,3
ptsd176,2,3,3
ptsd178,1,1,3
ptsd179,3,,3
ptsd180,2,2,1
ptsd183,2,1,1
ptsd185,2,,2
ptsd188,1,3,2
ptsd189,1,,3
ptsd190,1,1,3
ptsd191,1,1,2
ptsd192,3,2,1
ptsd193,2,2,4
ptsd196,1,4,2
ptsd197,2,3,1
ptsd199,1,,3
ptsd201,3,4,3
ptsd202,1,4,4
ptsd203,2,3,1
ptsd206,1,1,3
ptsd207,1,1,1
ptsd208,4,,4
ptsd209,2,4,1
