feature_names,sample,qsampled,random_sample
ptsd2,1,1,2
ptsd5,1,1,1
ptsd8,4,5,5
ptsd10,2,2,3
ptsd11,3,4,4
ptsd13,4,2,2
ptsd15,4,3,2
ptsd16,4,3,2
ptsd30,4,4,4
ptsd31,3,2,5
ptsd32,4,4,2
ptsd35,2,2,2
ptsd37,4,3,2
ptsd40,3,4,4
ptsd42,3,3,1
ptsd43,1,5,1
ptsd45,2,2,5
ptsd47,5,2,1
ptsd49,3,2,3
ptsd50,3,2,2
ptsd51,3,1,1
ptsd52,3,4,3
ptsd56,2,,1
ptsd61,5,,4
ptsd64,2,1,1
ptsd65,2,3,2
ptsd66,2,1,2
ptsd68,3,3,5
ptsd69,3,2,4
ptsd70,3,2,2
ptsd73,3,4,1
ptsd76,3,,5
ptsd77,3,1,4
ptsd82,4,,4
ptsd83,4,2,2
ptsd86,3,,4
ptsd88,2,,5
ptsd91,3,2,2
ptsd92,3,2,1
ptsd95,2,4,1
ptsd96,3,1,3
ptsd98,4,2,2
ptsd100,3,3,2
ptsd102,3,2,5
ptsd104,5,2,4
ptsd105,3,3,1
ptsd106,2,2,1
ptsd107,2,4,4
ptsd108,4,3,1
ptsd109,4,3,3
ptsd110,4,4,2
ptsd112,4,,3
ptsd113,1,5,1
ptsd117,4,1,4
ptsd119,2,3,2
ptsd124,2,3,4
ptsd125,2,,4
ptsd128,2,1,2
ptsd131,2,2,4
ptsd132,3,1,4
ptsd133,3,2,4
ptsd134,3,3,4
ptsd140,3,4,4
ptsd141,3,3,4
ptsd142,3,1,1
ptsd144,3,1,1
ptsd146,2,2,5
ptsd147,2,,3
ptsd148,3,2,1
ptsd149,2,1,4
ptsd153,2,2,5
ptsd154,2,1,2
ptsd155,3,4,2
ptsd157,2,4,4
ptsd158,3,1,3
ptsd159,2,3,1
ptsd160,2,5,1
ptsd161,2,1,1
ptsd162,2,4,1
ptsd163,2,1,5
ptsd164,2,,1
ptsd165,3,1,4
ptsd166,3,1,3
ptsd167,2,1,1
ptsd168,2,1,4
ptsd170,2,4,2
ptsd171,2,1,1
ptsd175,2,3,5
ptsd178,2,1,4
ptsd180,2,3,1
ptsd181,2,3,4
ptsd182,2,1,2
ptsd183,1,1,4
ptsd185,2,1,2
ptsd186,2,1,2
ptsd187,2,1,4
ptsd188,2,2,4
ptsd190,2,1,3
ptsd191,2,3,4
ptsd196,2,3,3
ptsd197,3,1,4
ptsd198,2,2,2
ptsd201,2,1,2
ptsd202,4,1,3
ptsd203,4,,4
ptsd204,4,1,4
ptsd205,4,3,3
ptsd206,4,,4
ptsd207,2,,4
ptsd208,3,3,5
ptsd210,3,4,1
ptsd211,5,2,4
