feature_names,sample,qsampled,random_sample
HRS1,c,d,b
PRESTG10,d,e,e
marital,married,,married
martype,marriage between a man and a woman,marriage between a man and a woman,marriage between people of the same gender
divorce,no,,yes
widowed,no,,no
spwrksta,keeping house,,working parttime
spevwork,yes,yes,no
COHRS1,e,d,d
SPOCC10,d,c,b
SPPRES105PLUS,c,,b
pawrkslf,someone else,,self-employed
PAOCC10,b,,c
PAPRES105PLUS,d,,c
mawrkslf,someone else,someone else,someone else
MAPRES105PLUS,c,d,c
MAIND10,nail salons and other personal care services,"architectural, engineering, and related services",pharmaceutical and medicine manufacturing
childs,c,,c
paeduc,c,,c
maeduc,d,d,b
coeduc,e,,b
spdeg,high school,,junior college
MAJOR1,nursing,education,information technology
race,white,,white
RES16,town lt 50000,,city gt 250000
REG16,middle atlantic,,middle atlantic
MOBILE16,different state,,different state
FAMILY16,father & stpmother,mother & father,mother & father
mawrkgrw,yes,,no
INCOM16,above average,average,average
born,yes,,yes
hompop,3,,4
babies,d,,e
preteen,c,,c
teens,c,,e
adults,2,,1
earnrs,c,,e
rincome,$25000 or more,,$15000 - 19999
RINCOM16,$90000 to $109999,$17500 to 19999,$8 000 to 9 999
xnorcsiz,"suburb, lrg city",smaller areas,"city,50-250000"
srcbelt,"suburb, 12 lrgst",,12 lrgst smsa's
PRES12,obama,obama,didn't vote for president
VOTE16,voted,did not vote,did not vote
PRES16,clinton,trump,other candidate (specify)
polviews,moderate,slightly liberal,extremely liberal
natspac,too much,,about right
natrace,too little,,about right
natroad,too little,,about right
natsoc,too little,too little,too little
natenrgy,about right,,too little
cappun,favor,,favor
reliten,not very strong,,not very strong
postlife,yes,,no
popespks,probably false,probably false,certainly true
RELIG16,catholic,,catholic
FUND16,moderate,fundamentalist,fundamentalist
sprel,catholic,,other eastern
spfund,moderate,,fundamentalist
bible,inspired word,,other
affrmact,strongly oppose pref,,oppose pref
wrkwayup,disagree strongly,,neither agree nor disagree
helpful,lookout for self,helpful,depends
trust,can't be too careful,can't be too careful,can't be too careful
confinan,only some,only some,only some
conbus,a great deal,,hardly any
coneduc,only some,,only some
confed,only some,,a great deal
conlabor,only some,,only some
conarmy,only some,,hardly any
obey,least important,,4th important
popular,4th important,,2nd important
thnkself,most important,most important,least important
socrel,almost daily,,almost daily
aged,a good idea,,a bad idea
weekswrk,c,,b
partfull,full-time,full-time,part-time
joblose,not likely,,fairly likely
class,middle class,middle class,lower class
rank,c,,c
satfin,not at all sat,not at all sat,not at all sat
finrela,average,far below average,above average
wksub,no,,yes
wksup,no,,no
WKSUP1,no,no,yes
union,neither belongs,,spouse belongs
UNION1,neither belongs,,neither belongs
fepol,disagree,,agree
divlaw,easier,stay same,more difficult
premarsx,not wrong at all,,always wrong
teensex,not wrong at all,always wrong,always wrong
SUICIDE1,yes,,no
polhitok,yes,,no
polabuse,no,,yes
polmurdr,no,,yes
polattak,yes,,no
tvhours,c,,d
phone,cellphone,cellphone,phone elsewhere
comprend,good,good,good
form,standard <x>,,alternate <y>
random,b,c,c
fechld,strongly agree,,agree
fefam,strongly disagree,strongly agree,agree
RACDIF1,yes,yes,yes
RACDIF2,no,,yes
RACDIF4,no,no,yes
helppoor,c,,d
reborn,no,,no
numcong,e,,e
wlthblks,c,,e
wlthhsps,c,,e
workwhts,c,,e
intlwhts,c,c,c
intlblks,c,c,e
intlhsps,c,c,c
liveblks,strongly favor,favor,strongly oppose
MARAsian,strongly favor,strongly favor,neither favor nor oppose
marhisp,strongly favor,,neither favor nor oppose
yousup,e,,d
fejobaff,strongly against,strongly against,for
discaffm,somewhat unlikely,somewhat unlikely,somewhat unlikely
vigversn,e,,d
CLOSETO4,e,e,c
MYPROBS1,e,,e
MYPROBS2,e,,d
MYPROBS5,e,,e
