feature_names,sample,qsampled,random_sample
wrkstat,working fulltime,retired,school
HRS1,c,c,e
HRS2,e,e,e
wrkslf,self-employed,,self-employed
wrkgovt,private,private,government
PRESTG10,c,,b
marital,never married,divorced,separated
SPHRS2,e,c,d
SPPRES10,e,c,d
PAIND10,b,c,c
mawrkslf,someone else,,self-employed
MAPRES105PLUS,c,,b
age,b,,d
speduc,e,c,b
degree,high school,,junior college
race,white,white,other
FAMILY16,mother & father,mother & father,m and f relatives
mawrkgrw,yes,,yes
born,yes,yes,no
granborn,d,,d
babies,c,c,c
unrelat,c,c,c
earnrs,e,c,e
xnorcsiz,"suburb, lrg city",,"uninc,lrg city"
srcbelt,"suburb, 12 lrgst",,12 lrgst smsa's
VOTE12,ineligible,voted,voted
VOTE16,did not vote,,did not vote
natenvir,too little,too little,too much
natcrime,about right,too little,too much
nateduc,too little,,too much
natrace,too little,,about right
natarms,about right,too little,too much
natroad,too little,about right,about right
natmass,about right,about right,too little
natchld,too little,about right,too much
natsci,too little,about right,about right
natenrgy,too little,too little,about right
eqwlth,c,c,d
colath,allowed,,allowed
colrac,allowed,allowed,not allowed
librac,not remove,not remove,not remove
libmil,not remove,,not remove
spkmslm,"yes, allowed",,"yes, allowed"
colmslm,not allowed,"yes, allowed",not allowed
cappun,oppose,favor,oppose
attend,once a year,,once a year
reliten,strong,not very strong,somewhat strong
postlife,yes,yes,no
pray,once a day,,once a day
popespks,uncertain true or false,,uncertain true or false
RELIG16,catholic,,moslem/islam
bible,inspired word,inspired word,inspired word
racopen,cant discriminate,,cant discriminate
life,exciting,,exciting
helpful,lookout for self,helpful,lookout for self
fair,take advantage,fair,take advantage
trust,can't be too careful,can trust,can trust
confinan,hardly any,,hardly any
coneduc,only some,,hardly any
confed,only some,only some,only some
conlabor,hardly any,only some,a great deal
conmedic,only some,,hardly any
consci,only some,only some,only some
conlegis,only some,,only some
obey,3rd important,,most important
popular,least important,,least important
workhard,2nd important,,4th important
helpoth,most important,3rd important,least important
aged,a bad idea,,a good idea
partfull,part-time,,part-time
finalter,better,stayed same,worse
wksub,yes,,no
wksubs,yes,yes,yes
WKSUB1,yes,,yes
WKSUBS1,yes,yes,no
wksup,no,no,no
parsol,about the same,,somewhat better
abnomore,yes,,yes
abhlth,yes,yes,yes
abrape,yes,,yes
absingle,yes,yes,yes
abany,yes,,yes
chldidel,e,,c
xmarsex,always wrong,almst always wrg,almst always wrg
pornlaw,illegal under 18,,illegal under 18
polattak,yes,,yes
hunt,neither,neither,neither
tvhours,e,e,b
coop,"friendly,interested",,hostile
random,c,c,b
helppoor,c,,b
helpblk,c,,d
numcong,e,,c
wlthwhts,e,,e
workhsps,e,,e
intlhsps,e,,e
discaff,not very likely,,somewhat likely
yousup,e,e,e
seriousp,somewhat serious,somewhat serious,somewhat serious
imbalnce,not very likely,,not very likely
stresses,very likely,somewhat likely,not very likely
genetics,somewhat likely,somewhat likely,somewhat likely
breakdwn,not very likely,,very likely
mentlill,not very likely,,not at all likely
physill,not very likely,,not at all likely
dectreat,somewhat able,somewhat able,not very able
decmoney,not able at all,,very able
imprvtrt,somewhat likely,very likely,very likely
vigsoc,probably willing,,probably willing
hurtself,very likely,somewhat likely,not very likely
tlkfam,yes,,no
tlkclrgy,yes,yes,no
mentloth,yes,,no
sphealer,yes,yes,no
otcmed,no,,yes
mustdoc,yes,,no
musthosp,yes,,yes
dangroth,yes,yes,no
CLOSETO2,e,,c
CLOSETO4,e,,e
SEETALK1,e,d,c
SEETALK2,e,,c
SEETALK3,e,e,b
SEETALK4,e,,e
MYPROBS1,e,,e
MYPROBS2,e,,c
SEVERE2,e,,c
SEVERE3,e,,e
DANGOTH2,e,c,d
DANGSLF3,e,e,e
