feature_names,sample,qsampled,random_sample
ptsd2,1,2,2
ptsd3,2,,5
ptsd4,3,4,4
ptsd5,1,1,2
ptsd10,3,,2
ptsd16,1,2,5
ptsd17,1,4,2
ptsd19,2,5,2
ptsd20,2,1,2
ptsd22,2,1,4
ptsd23,3,,5
ptsd28,2,3,1
ptsd29,1,2,2
ptsd30,2,2,3
ptsd31,1,2,1
ptsd32,1,2,5
ptsd34,3,2,1
ptsd35,1,,5
ptsd37,1,3,3
ptsd39,3,3,4
ptsd44,3,2,5
ptsd49,1,4,3
ptsd51,1,2,2
ptsd52,1,2,3
ptsd54,1,1,2
ptsd56,3,4,3
ptsd61,3,3,5
ptsd63,1,3,1
ptsd64,1,2,2
ptsd65,1,4,1
ptsd68,2,3,4
ptsd70,2,3,2
ptsd71,2,2,1
ptsd72,1,2,5
ptsd73,3,2,4
ptsd74,3,5,4
ptsd75,3,1,2
ptsd77,2,4,4
ptsd78,2,1,5
ptsd83,1,3,5
ptsd84,1,4,2
ptsd87,3,3,3
ptsd88,3,2,2
ptsd89,3,1,2
ptsd92,1,,3
ptsd94,3,3,1
ptsd95,3,2,3
ptsd96,2,3,5
ptsd97,3,1,2
ptsd98,1,2,3
ptsd99,2,2,4
ptsd102,1,,4
ptsd103,1,2,4
ptsd107,2,,2
ptsd110,2,,4
ptsd112,1,1,4
ptsd113,5,,4
ptsd116,2,3,1
ptsd117,1,1,2
ptsd118,1,5,5
ptsd119,3,2,2
ptsd121,1,1,4
ptsd122,1,2,3
ptsd126,3,3,4
ptsd128,1,1,3
ptsd131,1,5,5
ptsd132,1,1,2
ptsd135,2,3,2
ptsd139,1,4,2
ptsd140,2,2,4
ptsd143,1,2,3
ptsd144,1,2,4
ptsd146,1,2,1
ptsd149,2,5,1
ptsd151,1,1,4
ptsd153,2,1,5
ptsd155,1,1,2
ptsd156,2,3,5
ptsd161,1,1,4
ptsd162,1,1,2
ptsd165,2,3,2
ptsd167,2,1,1
ptsd168,2,1,2
ptsd170,1,1,2
ptsd172,1,1,4
ptsd173,1,1,3
ptsd177,1,3,2
ptsd178,1,3,3
ptsd179,2,2,1
ptsd181,1,,1
ptsd182,1,1,3
ptsd183,1,2,4
ptsd184,3,1,4
ptsd185,3,2,2
ptsd187,1,,3
ptsd189,1,1,3
ptsd192,2,4,5
ptsd194,1,1,1
ptsd195,1,1,4
ptsd196,1,3,5
ptsd198,1,5,2
ptsd199,1,3,2
ptsd200,1,,3
ptsd202,1,2,3
ptsd204,1,3,5
ptsd205,3,,5
ptsd206,1,5,1
ptsd208,1,4,4
ptsd211,3,3,1
