feature_names,sample,qsampled,random_sample
HRS2,e,e,a
wrkgovt,private,,private
OCC10,b,,e
PRESTG10,c,c,e
martype,marriage between a man and a woman,,marriage between people of the same gender
spwrksta,working fulltime,,keeping house
COHRS2,e,,c
SPOCC10,c,c,c
SPPRES10,d,,b
PAOCC10,c,,d
mawrkslf,self-employed,,self-employed
MAOCC10,b,,d
MAIND10,child day care services,banking and related activities,"civic, social, advocacy organizations, and grantmaking and giving services"
childs,b,c,b
agekdbrn,e,c,c
coeduc,e,,b
degree,graduate,high school,junior college
padeg,graduate,graduate,graduate
madeg,bachelor,,lt high school
spdeg,bachelor,,lt high school
MAJOR1,computer science,education,medicine
dipged,high school diploma,high school diploma,hs diploma after post hs classes
sex,male,female,male
race,other,,other
REG16,foreign,south atlantic,middle atlantic
MOBILE16,different state,same city,different state
FAMILY16,mother & father,female relative,mother & father
mawrkgrw,yes,yes,no
granborn,d,c,c
adults,2,,4
earnrs,c,,b
region,middle atlantic,,w. sou. central
srcbelt,"suburb, 12 lrgst",,12 lrgst smsa's
partyid,strong democrat,independent,not str republican
VOTE16,voted,did not vote,voted
PRES16,clinton,iap,trump
polviews,moderate,slghtly conservative,slightly liberal
natroad,too little,too little,about right
natmass,too little,,too much
natenrgy,too little,,about right
natspacy,too little,,too little
natenviy,too little,too little,about right
nathealy,too much,too little,about right
natcrimy,about right,too little,about right
natarmsy,too much,,about right
natfarey,too little,,about right
tax,about right,,too high
colath,allowed,allowed,not allowed
spkrac,not allowed,,not allowed
colrac,not allowed,,not allowed
spkcom,allowed,allowed,not allowed
colcom,fired,,not fired
spkmil,allowed,allowed,not allowed
libmil,not remove,not remove,not remove
spkhomo,allowed,allowed,allowed
libhomo,not remove,not remove,remove
spkmslm,"yes, allowed",,"yes, allowed"
colmslm,"yes, allowed","yes, allowed","yes, allowed"
cappun,oppose,oppose,oppose
grass,legal,not legal,legal
reliten,not very strong,,strong
sprel,moslem/islam,,other eastern
bible,inspired word,,word of god
hapmar,very happy,pretty happy,very happy
health,excellent,good,fair
fair,fair,take advantage,fair
conclerg,only some,only some,only some
coneduc,only some,only some,hardly any
conpress,a great deal,,only some
conmedic,a great deal,hardly any,a great deal
contv,only some,only some,only some
conlegis,only some,,hardly any
conarmy,a great deal,,a great deal
helpoth,2nd important,3rd important,2nd important
weekswrk,c,,b
satfin,satisfied,not at all sat,satisfied
wksub,yes,,yes
wksubs,yes,yes,yes
wksup,yes,,no
unemp,no,,no
union,neither belongs,neither belongs,neither belongs
parsol,much better,,much better
kidssol,no children -volunteered-,,much better
abrape,yes,yes,yes
abany,yes,yes,yes
chldidel,e,e,b
xmarsex,sometimes wrong,almst always wrg,sometimes wrong
polabuse,no,,yes
polattak,yes,yes,no
fear,no,yes,yes
rifle,no,,yes
hunt,neither,,resp
HUNT1,neither hunts,neither hunts,respondent hunts
phone,cellphone,,phone in home
coop,"friendly,interested",cooperative,"friendly,interested"
random,e,b,c
helppoor,c,c,d
helpnot,c,,d
helpblk,b,c,d
god,some higher power,,some higher power
savesoul,no,,no
numcong,e,,c
vigversn,c,c,e
seriousp,very serious,,not very serious
wayraise,not at all likely,,not very likely
godswill,not at all likely,,very likely
upsdowns,not very likely,not at all likely,very likely
viglabel,very likely,,not at all likely
decmoney,not very able,,somewhat able
imprvown,not likely at all,somewhat unlikely,somewhat likely
imprvtrt,very likely,,very likely
vignei,probably willing,definitely unwilling,probably willing
hurtself,very likely,not likely at all,not very likely
tlkfam,yes,yes,no
meddoc,yes,yes,no
mentldoc,yes,,yes
mentlhos,yes,,no
mustdoc,yes,yes,yes
musthosp,no,,no
dangrslf,yes,,no
dangroth,yes,,no
CLOSETO2,e,e,c
CLOSETO4,e,,e
SEETALK1,e,,c
SEETALK3,e,e,c
MYPROBS2,e,e,d
MYPROBS3,e,e,e
MYPROBS5,e,e,e
SEVERE1,e,e,c
SEVERE3,e,e,e
SEVERE5,e,,c
DANGOTH1,e,,d
DANGOTH3,e,,e
DANGOTH5,e,e,e
fammhneg,not very much,not very much,not very much
othmhneg,not very much,,somewhat
diagnosd,no,no,yes
MCSDS1,True,,True
MCSDS2,True,False,True
MCSDS3,True,,False
MCSDS7,False,,False
othlang,yes,,no
OTHLANG1,hindi,hebrew,latin
emailmin,e,e,e
hrsrelax,e,e,e
mntlhlth,e,,d
hlthdays,e,,c
hurtatwk,e,e,c
height,e,c,e
misswork,e,,c
lifenow,e,,e
disrspct,a few times a year,never,almost every day
poorserv,a few times a year,less than once a year,never
afraidof,a few times a year,,a few times a month
threaten,less than once a year,less than once a year,less than once a year
satsoc,very good,,very good
actssoc,very good,very good,very good
physacts,completely,mostly,mostly
fatigue,none,mild,severe
abmoral,it depends,,it depends
ABSTATE1,neither easy nor hard,easy,very easy
ABHELP1,yes,,yes
ABHELP4,yes,yes,yes
nattime,somewhat disagree,somewhat agree,strongly disagree
natsat,strongly agree,,strongly disagree
natrelax,strongly agree,,somewhat agree
natactive,strongly agree,,somewhat agree
natlack,somewhat disagree,,strongly disagree
stockval,e,e,c
extrayr,e,e,e
yearval,e,,c
numemps,e,e,d
colscinm,e,e,d
visnhist,e,,e
vissci,e,e,c
buyvalue,e,e,e
compwage,e,,d
wealth,"$500,000 to $1 million","less than $5,000","$75,000 to $100,000"
mhunsure,strongly agree,strongly agree,agree
mhdiagno,no,,no
ratetone,c,,d
prvdhlth,private companies/for-profit organizations,government,government
prvdold,private companies/for-profit organizations,private companies/for-profit organizations,religious organizations
POLEFF11,disagree,,neither agree nor disagree
marcohab,married,,"not married, no cohabitating partner"
knwbus,no one,,someone else i know
knwexec,close friend,no one,no one
knwcuttr,close friend,someone else i know,family or relative
knwhrman,no one,family or relative,family or relative
knwlawyr,close friend,,close friend
knwnurse,no one,family or relative,no one
knwcop,no one,,family or relative
knwtcher,close friend,family or relative,close friend
smallgap,strongly agree,,strongly disagree
govlazy,disagree,,agree
partlsc,several times a year,once a week or more,never
partvol,several times a year,several times a year,once in the past year
hlphome,close friend,,no one
hlpsick,close family member,,someone i work with
hlpdown,close friend,close friend,close friend
hlpadvce,close friend,,more distant family member
hlppaper,family members or close friends,,non-profit or religious organizations
hlpsickr,family members or close friends,family members or close friends,public services
trbigbus,d,c,e
CONF2F,some of them,most of them,about half of them
cntctkid,i do not have any adult children,,several times a year
cntctfam,once a week,,the other family member i have the most contact with the most frequently lives with me
cntctfrd,several times a week,,once a week
healthissp,excellent,,excellent
pilingup,never,,often
mygoals,mostly true,,neither true nor untrue
endsmeet,very easy,,neither easy nor difficult
numlangs,three languages,two languages,four or more languages
incgap,strongly agree,,neither
marhomo,strongly agree,neither agree nor disagree,strongly disagree
relactiv,less than once a year,,nearly every week
befair,fair mst of time,advntge mst time,advntge mst time
sexsex,exclusively female,,both male and female
nummen,c,c,c
SEXSEX5,exclusively female,exclusively female,exclusively male
evpaidsx,no,no,yes
evidu,no,no,no
sexornt,heterosexual or straight,,"gay, lesbian, or homosexual"
sexbirth,male,,female
sexnow,man,women,man
GENEGOO2,c,,c
